,Word,Frequency
1165,mohammadi,1
1166,hotel,1
1167,bhendi,1
1168,bazaar,1
1169,must,1
1170,#recommended,1
1171,omg,1
1172,know,1
1173,where,1
1174,im,1
1175,gonna,1
1176,check,2
1177,@pongalexpress,3
1178,south,2
1179,click,1
1180,our,2
1181,#pongalexpress,2
1182,#southindianfood,2
1183,beginning,1
1184,look,1
1185,lot,1
1186,32nd,1
1187,avenue,1
1188,gurugram,1
1189,yall,1
1190,half,2
1191,nonveg,1
1192,fav,1
1193,joeys,1
1194,andheri,1
1195,west,1
1196,#pizzalover,1
1197,#weekend,1
1198,chai,2
1199,okhla,1
1200,delhi,1
1201,tag,1
1202,#chai,1
1203,#tandoorichai,1
1204,craving,1
1205,recently,1
1206,ordered,1
1207,enjoyed,1
1208,bite,1
1209,loved,1
1210,idlis,1
1211,wada,1
1212,guys,2
1213,need,1
1214,asap,1
1215,order,1
1216,told,1
1217,really,1
1218,burgers,1
1219,poetry,1
1220,cheesecake,1
1221,me,1
1222,@tikiappofficial,1
1223,videos,1
1224,#tikiappofficial,1
1225,#tikiindia,1
1226,#burger,1
1227,#huffposttaste,1
